tipo,fecha,ticker,descripcion,precio_unitario,cantidad,importe_total,moneda,numero_op
COMPRA,16/05/2022,ALUA,,88.61699999999999,10.0,886.17,ARS,987145
COMPRA,20/09/2019,COME,,1.7947142857142857,70.0,125.63,ARS,428368
COMPRA,27/09/2019,COME,,1.592923076923077,130.0,207.08,ARS,445550
COMPRA,18/10/2019,TXAR,,16.636000000000003,10.0,166.36,ARS,481116
COMPRA,18/10/2019,COME,,1.6936666666666667,60.0,101.62,ARS,482267
COMPRA,31/10/2019,GFVA,,9.074,50.0,453.7,ARS,515933
COMPRA,20/01/2020,BOLT,,5.306933333333333,150.0,796.04,ARS,85545
COMPRA,21/01/2020,GCDI,,7.12962962962963,135.0,962.5,ARS,93424
COMPRA,31/01/2020,GCDI,,6.1932307692307695,65.0,402.56,ARS,147101
COMPRA,16/03/2020,ALUA,,19.8384,50.0,991.92,ARS,348372
COMPRA,27/03/2020,GCDI,,3.1218,100.0,312.18,ARS,394390
COMPRA,27/03/2020,COME,,1.3091000000000002,300.0,392.73,ARS,395226
COMPRA,01/04/2020,GFVA,,9.2847,100.0,928.47,ARS,412889
COMPRA,07/04/2020,GFVA,,9.2646,50.0,463.23,ARS,440565
COMPRA,07/04/2020,COME,,1.3897,200.0,277.94,ARS,441197
COMPRA,13/04/2020,BOLT,,2.31615,200.0,463.23,ARS,456268
COMPRA,20/04/2020,BOLT,,2.235084745762712,118.0,263.74,ARS,511217
COMPRA,13/05/2020,BHIP,,9.1034,50.0,455.17,ARS,699035
COMPRA,01/07/2020,CECO2,,11.0772,50.0,553.86,ARS,1131142
COMPRA,04/09/2020,GFVA,,25.1756,25.0,629.39,ARS,1806654
COMPRA,17/09/2020,GFVA,,22.8592,25.0,571.48,ARS,1917718
COMPRA,01/10/2020,GFVA,,21.9536,25.0,548.84,ARS,2061640
COMPRA,14/10/2020,GFVA,,22.7084,25.0,567.71,ARS,2181541
COMPRA,21/01/2021,TECO2,,193.348,5.0,966.74,ARS,190106
COMPRA,11/03/2021,ALUA,,40.88533333333333,15.0,613.28,ARS,678266
COMPRA,29/03/2021,CEPU,,30.21066666666667,30.0,906.32,ARS,804636
COMPRA,19/08/2021,CEPU,,44.107,10.0,441.07,ARS,2181755
COMPRA,22/09/2021,ALUA,,61.126999999999995,10.0,611.27,ARS,2535699
COMPRA,16/05/2022,ALUA,,88.61699999999999,10.0,886.17,ARS,987145
